Item i,Group,Category,Menu Item,Net Qty,Net Sales,Refrigerator #,Rank t_i,Rank T (for Refrugerator)
75,,,Nemo Cake Square Birthday,33,62.37,3,62,
76,,,Nemo Cake Square Carrot,40,74.91,3,50,
77,,,Nemo Cake Square Chocolate,66,124.55,3,30,
78,,,Nemo Cake Square Lemon,22,41.2,3,93,
79,,,Nemo Cake Square Red Velvet,64,120.96,3,32,
80,Grocery - Frozen,Frozen Dessert,Daifuku Mochi Mango,31,135.59,3,70,
81,,,Daifuku Rice Cake Bean 1PC,29,60.61,3,79,
82,,,Daifuku Rice Cake Green 1PC,30,62.7,3,72,
83,,,Daifuku Rice Cake Red 1PC,35,73.15,3,58,
84,,,Daifuku Rice Cake Sesame 1PC,30,62.7,3,73,
85,,,Daifuku Rice Cake White 1PC,29,60.61,3,80,
86,Grocery - Refrigerated,Asian Perishable,House Soon Tofu BCD Hot 13oz,38,151.62,3,54,
87,,,House Soon Tofu BCD Med 13oz,29,115.71,3,81,
88,Retail Beverages,RTD Coffee and Tea,Itoen Jasmine Green Tea 16.9oz,83,239.87,3,20,
89,,,Moriyama Cafe Latte 7.4oz,49,141.61,3,37,
90,,,Moriyama Latte 6.8oz,46,132.69,3,41,
91,,,Moriyama Latte Tea 7.4oz,34,101.66,3,60,
92,,,Pokka Gold Milk Coffee Can,75,111.75,3,25,
93,,,Pokka Japanese Green Tea,68,100.43,3,28,
94,,,Hawaiian Sun Guava 11.5oz,54,107.46,3,35,
95,,,Hawaiian Sun Ice Tea 11.5oz,36,71.64,3,57,
96,,,Ramune Soda Grape 6.76oz,21,83.79,3,98,
97,,,Ramune Soda Melon 6.76oz,27,107.73,3,84,
98,,,Ramune Soda Orange 6.76oz,20,79.55,3,101,
99,,,Ramune Soda Original 6.76oz,41,163.59,3,46,
100,,,Ramune Soda Strawberry 6.76oz,33,131.67,3,63,
101,,,H2C Coconut Water 17.63oz,79,228.02,3,23,
102,,,H2C Coconut Water 1L,71,283.04,3,27,
103,Snacks,Snacks Other,Happy Clover Swiss Roll OldFsh,30,230.7,3,74,
104,,,Happy Clover Swiss Roll White,35,269.15,3,59,58.78125
105,Grocery - Fresh Packaged,Fresh Packaged Other,Sunrice B Bap,57,566.15,4,34,
106,,,Sunrice Chapchae,32,286.15,4,66,
107,,,Sunrice CnutCurry Tofu Noodles,33,295.35,4,64,
108,,,Sunrice CnutCurry Tofu Rice,23,205.85,4,90,
109,,,Sunrice CnutCurry Tofu w/o Rice,21,187.95,4,99,
110,,,Sunrice Green Rice,21,187.95,4,100,
111,,,Sunrice TSS without Rice,16,143.2,4,111,
112,,,Sunrice TSSS Noodles,39,349.05,4,53,
113,,,Sunrice TSSS Rice,16,143.2,4,112,
114,,,Sunrice TSSS without Rice,22,196.9,4,94,
115,,,Sunrice TSSSS Rice,20,179,4,102,
116,,,Sunrice TSSSS without Rice,22,196.9,4,95,85
117,Grocery - Dairy,Cheese,BelGioioso Asiago Wedge,2,9.9,5,169,
118,,,BelGioioso Mascarpone Belgioioso,13,51.87,5,121,
119,,,BelGioioso Parmesan Shredded Cup,23,98.67,5,91,
120,,,BelGioioso Parmesan Wedge,22,120.78,5,96,
121,,,BelGioioso Romano Shredded Cup,11,46.69,5,126,
122,,,BelGioioso Romano Wedge,5,24.75,5,152,
123,,,BelGioioso Snacking Mozzarella,24,110.16,5,88,
124,,,Best Yet Amer Singles 12oz,11,49.39,5,127,
125,,,Best Yet Colby Jack Shred 8oz,30,119.45,5,75,
126,,,Field Roast Chao Cheese Original,3,24.27,5,167,
127,,,Galbani Mozzarella Loaf 16oz,11,93.39,5,128,
128,,,Kraft Amer Singles 8oz,13,64.87,5,122,
129,,,Kraft Mexi 4 Cheese Shred 8oz,51,329.04,5,36,
130,,,Kraft Mozzarella Shred Fine 8oz,45,292.05,5,42,
131,,,Kraft String Cheese Twist,41,36.49,5,47,
132,,,Kraft String Ums,82,64.78,5,22,
133,,,Laura Chenel Goat Plain Log,9,71.55,5,134,
134,,,Laural Chenel Garlic & Chive Goat Log 4oz,3,20.97,5,168,
135,,,Organic Creamery Feta Crumble Cup,14,91,5,117,
136,,,Rumiano Havarti Sliced 8oz,9,43.52,5,135,
137,,,Rumiano Monterey Jack 8oz,18,80.82,5,105,
138,,,Rumiano Sliced Cheddar Mild 8oz,32,143.23,5,67,
139,,,Rumiano Sliced Gouda 8oz,6,29.34,5,147,
140,,,Rumiano Sliced Mozzarella 8oz,18,80.82,5,106,
141,,,Rumiano Sliced Munster 8oz,9,40.41,5,136,
142,,,Rumiano Sliced Pepper Jack 8oz,9,40.41,5,137,
143,,,Rumiano Sliced Provolone 8oz,16,71.84,5,113,
144,,,Rumiano Sliced Swiss,15,73.35,5,114,
145,,,Tillamook Ched Med Shredded 8oz,37,221.63,5,55,
146,,,Tillamook Ched Med Sliced,14,113.26,5,118,
147,,,Tillamook Cheddar .75oz,117,103.95,5,11,
148,,,Tillamook Medium Cheddar 8oz,17,101.83,5,109,
149,,,Tillamook Monterey Jack 8oz,5,29.95,5,153,
150,,,Tillamook Pepperjack 8oz,9,53.91,5,138,
151,,,Tillamook Sharp Cheddar 8oz,14,82.66,5,119,
152,,,Tillamook X-Sharp Cheddar 8oz,12,71.88,5,124,
153,,Dairy Other,Boursin Cheese Garlic Herb 5oz,27,161.73,5,85,
154,,,Daiya Vegan Cream Cheeese Strawberry 8oz,2,15.3,5,170,
155,,,Daiya Vegan Cream Cheese Plain 8oz,4,30.6,5,159,
156,,,Daiya Vegan Sliced Cheese,4,24.36,5,160,
157,,,Philadelphia Cream Cheese Low Fat,47,149.68,5,39,
158,,,Philadelphia Cream Cheese Original,94,446.5,5,17,
159,Grocery - Frozen,Frozen Meal,Beechers Mac and Cheese Gluten Free,11,185.19,5,129,
160,,,Beechers Mac and Cheese Worlds Best,58,866.42,5,33,
161,Grocery - Refrigerated,Deli Meat Packaged,Buddig Ham 2oz,12,19.08,5,125,
162,,,Oscar M Deli Roasted Turkey 9oz,32,215.32,5,68,
163,,Perishable Other,Applegate Chicken Maple Sausag,18,116.82,5,107,
164,,,Applegate Oven Roasted Chicken,13,94.77,5,123,
165,,,Applegate Sliced Ham,19,138.51,5,103,
166,,,Applegate Smoked Turkey Slices,15,109.35,5,115,
167,,,Applegate Turkey Bacon,28,180.17,5,83,
168,,,Field Roast Apple Sage Sausage,5,48.95,5,154,
169,,,Field Roast Brkfst Mple Sausage,2,19.98,5,171,
170,,,Field Roast Frankforter Sausage,2,17.98,5,172,
171,,,Field Roast Fruffalo Wing,2,23.98,5,173,
172,,,Field Roast Lentil Sage Deli,1,5.29,5,175,
173,,,Field Roast Mex Chiptle Sausage,6,58.94,5,148,
174,,,Field Roast Smked Tmto Deli Sliced,5,24.95,5,155,
175,,,Uptons Natural Seitain Chorizo ,4,26.6,5,161,
176,,,Uptons Natural Seitan Bacon,1,6.49,5,176,115.2666667
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
