Item#,Group,Category,Menu Item,Net Qty,Net Sales,Initial Refrigerator #,Rank,Lenth,Width,Height
4,Grocery - Refrigerated,Eggs,Wilcox HB Egg 2Pk Cage Free,132,236.28,1,8,17,12,7
5,,Packaged Grab and Go,Columbus Snack Tray Italian Dry Salami,40,239.6,1,48,16,20,22
6,,,Hillshire SP Genoa Salame,22,87.78,1,92,13.5,13,10
7,,,Hillshire SP Hot Calabrese,75,299,1,24,13.5,13,10
8,,,Hillshire SP Ital Dry Salame,71,283.04,1,26,13.5,13,10
9,,,Sabra Hummus Garlic and Pretzel,41,163.59,1,45,10,10,8
10,,,Sabra Hummus Red Pepper,46,183.14,1,40,10,10,5
13,,Deli Case (Preweighed),BBQ Turkey Meatballs,138,794.24,1,5,13,19,7
14,,,Chicken Potsticker Salad,111,572.98,1,13,12,15,6
15,,,Corn Salad,39,190.21,1,51,12,15,6
16,,,Pesto Tortellini,185,1166.52,1,4,12,15,6
17,,,Quinoa Tabbolouleh,29,142.92,1,76,17,12,7
18,,,Roasted Broccoli Salad,25,111.95,1,87,12,15,6
19,,,Tropical Fruit Salad,124,694.07,1,10,12,15,6
20,,,Teriyaki Beef Meal,136,1358.64,1,7,13,19,7
21,,,Teriyaki Chicken Meal,128,1278.72,1,9,13,19,7
22,,,Vegan Chana Masala,44,373.56,1,43,13,19,7
118,,,BelGioioso Mascarpone Belgioioso,13,51.87,5,121,12,12,4
119,,,BelGioioso Parmesan Shredded Cup,23,98.67,5,91,12,12,8
120,,,BelGioioso Parmesan Wedge,22,120.78,5,96,20,14,5
121,,,BelGioioso Romano Shredded Cup,11,46.69,5,126,10,10,6
123,,,BelGioioso Snacking Mozzarella,24,110.16,5,88,19,38,8
124,,,Best Yet Amer Singles 12oz,11,49.39,5,127,10,9,5
125,,,Best Yet Colby Jack Shred 8oz,30,119.45,5,75,14,21,2
127,,,Galbani Mozzarella Loaf 16oz,11,93.39,5,128,15,20,3
128,,,Kraft Amer Singles 8oz,13,64.87,5,122,10,9,3
135,,,Organic Creamery Feta Crumble Cup,14,91,5,117,12,12,6
153,,Dairy Other,Boursin Cheese Garlic Herb 5oz,27,161.73,5,85,14,14,14
157,,,Philadelphia Cream Cheese Low Fat,47,149.68,5,39,10,11,5
158,,,Philadelphia Cream Cheese Original,94,446.5,5,17,12,6,4
159,Grocery - Frozen,Frozen Meal,Beechers Mac and Cheese Gluten Free,11,185.19,5,129,18,12,5
160,,,Beechers Mac and Cheese Worlds Best,58,866.42,5,33,10,8,5
161,Grocery - Refrigerated,Deli Meat Packaged,Buddig Ham 2oz,12,19.08,5,125,14,18,3
162,,,Oscar M Deli Roasted Turkey 9oz,32,215.32,5,68,20,13,5
163,,Perishable Other,Applegate Chicken Maple Sausag,18,116.82,5,107,20,11,10
164,,,Applegate Oven Roasted Chicken,13,94.77,5,123,12,15,4
165,,,Applegate Sliced Ham,19,138.51,5,103,12,18,3
166,,,Applegate Smoked Turkey Slices,15,109.35,5,115,9,19,1
167,,,Applegate Turkey Bacon,28,180.17,5,83,30,13,0.1
