Item#,Group,Category,Menu Item,Net Qty,Net Sales,Initial Refrigerator #,Rank,Lenth,Width,Height
3,,Dairy Other,Kraft Big Cheese Bar Colby Jack,4,10.71,1,156,7,20,5
5,,Packaged Grab and Go,Columbus Snack Tray Italian Dry Salami,40,239.6,1,48,16,20,22
12,Grocery Store Deli,Breakfast (Non-Weighed),Egg Hard Boiled Individual,1,0.89,1,174,5,5,2
13,,Deli Case (Preweighed),BBQ Turkey Meatballs,138,794.24,1,5,13,19,7
14,,,Chicken Potsticker Salad,111,572.98,1,13,12,15,6
15,,,Corn Salad,39,190.21,1,51,12,15,6
16,,,Pesto Tortellini,185,1166.52,1,4,12,15,6
17,,,Quinoa Tabbolouleh,29,142.92,1,76,17,12,7
18,,,Roasted Broccoli Salad,25,111.95,1,87,12,15,6
19,,,Tropical Fruit Salad,124,694.07,1,10,12,15,6
22,,,Vegan Chana Masala,44,373.56,1,43,13,19,7
23,Packaged,Breakfast,DM2Go Fresh Cut Fruit,138,805.92,1,6,15,15,8
24,,Other,DM2Go Chia Pudding Strawberry,89,442.16,1,18,9,9,11
25,,,DM2Go Fresh Crudite,87,477.08,1,19,14,14,14
26,,,DM2Go Fresh Grapes,66,263.34,1,29,9,9,14
27,,,DM2Go Moto Hawaiian Fried Rice,104,726.96,1,15,13,19,7
28,,,DM2Go Chicken Kale Caesar Salad,200,1794.4,1,3,19,15,5
29,,,DM2Go Farmers Market Salad,29,230.91,1,77,19,15,5
30,,,DM2Go Greek Salad,23,125.72,1,89,19,15,5
31,,Sandwich and Wrap,DM2Go Chicken Shawarma,111,975.69,1,14,45,45,40
32,,,DM2Go Ham Havarti Croissant Sandwich,115,1031.8,1,12,19,15,5
33,,,DM2Go Mediterranean Chickpea Sandwich,98,780.62,1,16,30,45,30
34,,,DM2Go Peanut Butter and Jam Sandwich,64,319.36,1,31,19,33,9
35,,,DM2Go Turkey and Cheddar Sandwich,320,2870.25,1,1,19,33,9
127,,,Galbani Mozzarella Loaf 16oz,11,93.39,5,128,15,20,3
128,,,Kraft Amer Singles 8oz,13,64.87,5,122,10,9,3
133,,,Laura Chenel Goat Plain Log,9,71.55,5,134,8,17,5
134,,,Laural Chenel Garlic & Chive Goat Log 4oz,3,20.97,5,168,7,13,4
135,,,Organic Creamery Feta Crumble Cup,14,91,5,117,12,12,6
153,,Dairy Other,Boursin Cheese Garlic Herb 5oz,27,161.73,5,85,14,14,14
154,,,Daiya Vegan Cream Cheeese Strawberry 8oz,2,15.3,5,170,12,12,5
155,,,Daiya Vegan Cream Cheese Plain 8oz,4,30.6,5,159,12,12,5
156,,,Daiya Vegan Sliced Cheese,4,24.36,5,160,10,9,3
157,,,Philadelphia Cream Cheese Low Fat,47,149.68,5,39,10,11,5
158,,,Philadelphia Cream Cheese Original,94,446.5,5,17,12,6,4
161,Grocery - Refrigerated,Deli Meat Packaged,Buddig Ham 2oz,12,19.08,5,125,14,18,3
162,,,Oscar M Deli Roasted Turkey 9oz,32,215.32,5,68,20,13,5
175,,,Uptons Natural Seitain Chorizo ,4,26.6,5,161,12,14,4
176,,,Uptons Natural Seitan Bacon,1,6.49,5,176,14,6,16
