Item#,Group,Category,Menu Item,Net Qty,Net Sales,Initial Refrigerator #,Rank,Lenth,Width,Height
23,Packaged,Breakfast,DM2Go Fresh Cut Fruit,138,805.92,1,6,15,15,8
24,,Other,DM2Go Chia Pudding Strawberry,89,442.16,1,18,9,9,11
25,,,DM2Go Fresh Crudite,87,477.08,1,19,14,14,14
26,,,DM2Go Fresh Grapes,66,263.34,1,29,9,9,14
27,,,DM2Go Moto Hawaiian Fried Rice,104,726.96,1,15,13,19,7
28,,,DM2Go Chicken Kale Caesar Salad,200,1794.4,1,3,19,15,5
29,,,DM2Go Farmers Market Salad,29,230.91,1,77,19,15,5
30,,,DM2Go Greek Salad,23,125.72,1,89,19,15,5
31,,Sandwich and Wrap,DM2Go Chicken Shawarma,111,975.69,1,14,45,45,40
32,,,DM2Go Ham Havarti Croissant Sandwich,115,1031.8,1,12,19,15,5
33,,,DM2Go Mediterranean Chickpea Sandwich,98,780.62,1,16,30,45,30
34,,,DM2Go Peanut Butter and Jam Sandwich,64,319.36,1,31,19,33,30
35,,,DM2Go Turkey and Cheddar Sandwich,320,2870.25,1,1,19,33,9
48,Snacks,Health Bars,G2G Bar Choc Banana,29,112.81,1,78,8,14,17
49,,,G2G Bar Peanut Butter & Jelly,30,116.7,1,71,7,13,18
50,Grocery - Dry Goods (Non-Weighted),Condiments and Sauces,Pennys Salsa Medium 16oz,10,54.65,2,130,12,12,8
54,,,Neato Bur Seven Layer,10,68.5,2,131,12,19,7
62,,,Olli Pepperoni Presliced 4oz,14,95.06,2,116,14,23,2
69,,,GeradDom Wild Coho Smoked Salmon,28,349.72,2,82,15,25,1
70,,,SarbarGoMed Hummus,21,99.75,2,97,15,15,5
71,,,SarbarGoMed Hummus Rstd Garlic,26,123.5,2,86,20,20,7
72,,,SarbarGoMed Hummus Rstd Pep,13,61.75,2,120,15,15,5
