Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
,,Vanilla,0,0,0,0,0,0,0,0,0,0,0
,,Vanilla SF,0,0,0,0,0,0,0,0,0,0,0
,,White Chocolate,0,0,0,0,0,0,0,0,0,0,0
,Options - Flavor,---,0,0,0,0,0,0,0,0,---,0,0
,Other Beverages,Hot Chocolate (Grande),145.25,0,0,0,0,0.75,0,-20.4,14.59,34,145.25
,,Hot Chocolate (Short),63.25,0,0,0,0,1.5,0,-20.9,6.24,19,63.25
,,Hot Chocolate (Tall),231.75,0,0,0,0,3,0,-42.7,23.1,61,231.75
,Other Beverages,---,440.25,0,0,0,0,5.25,0,-84,---,114,440.25
,Tea,Brewed Tea (Grande),67.25,0,0,0,0,0.75,-0.35,-18.05,6.68,19,66.9
,,Brewed Tea (Short),7,0,0,0,0,0,0,-0.7,0.71,2,7
,,Brewed Tea (Tall),64.5,0,0,0,0,1.5,0,-8.1,6.36,18,64.5
,,Chai Tea Latte (Grande),925,0,0,0,0,56.75,-0.58,0,87.63,151,924.42
,,Chai Tea Latte (Short),201,0,0,0,0,6.25,0,-24.6,19.67,41,201
,,Chai Tea Latte (Tall),1011,0,0,0,0,60.75,0,-36.2,95.98,181,1011
,,Husky Grind Iced Tea (Grande),44.25,0,0,0,0,2.25,-0.35,0,4.21,12,43.9
,,Husky Grind Iced Tea (Short),10.75,0,0,0,0,0.75,0,0,1.01,4,10.75
,,Husky Grind Iced Tea (Tall),53.25,0,0,0,0,5.25,-0.3,0,4.82,16,52.95
,,Loose Leaf Tea,31.5,0,0,0,0,0,0,0,3.18,9,31.5
,,Matcha Green Tea Latte (Grande),134.25,0,0,0,0,3,0,10.5,13.26,21,134.25
,,Matcha Green Tea Latte (Short),26.25,0,0,0,0,0,0,-0.5,2.65,5,26.25
,,Matcha Green Tea Latte (Tall),250.25,0,0,0,0,3,0,12.6,24.97,43,250.25
,,Matcha Lemonade (Grande),9.9,0,0,0,0,0,0,0,1,2,9.9
,,Tea Latte (Grande),128.75,0,0,0,0,2.25,0,-5.75,12.78,23,128.75
,,Tea Latte (Short),18.75,0,0,0,0,0.75,0,-3.4,1.82,4,18.75
,,Tea Latte (Tall),111.5,0,0,0,0,1.5,0,-9.45,11.11,22,111.5
,Tea,---,3095.15,0,0,0,0,144.75,-1.58,-83.65,---,573,3093.57
Cafe Beverages,---,---,10983.9,0,0,0,0,602.75,-19.4,-634.5,---,2095,10964.5
Deli,Bagel Sandwich,Mercer Bagel Sandwich,568.83,0,0,0,0,0,0,-33.5,57.45,67,568.83
Entrees,Breakfast,Oatmeal,1.49,0,0,0,0,0,0,0,0.15,1,1.49
,,Oatmeal (12oz),23.88,0,0,0,0,0,0,0,2.41,12,23.88
,,Oatmeal (16oz),9.96,0,0,0,0,0,0,0,1.01,4,9.96
,,Oatmeal (8oz),40.23,0,0,0,0,0,-0.9,0,3.97,27,39.33
,Breakfast,---,75.56,0,0,0,0,0,-0.9,0,---,44,74.66
Entrees,---,---,75.56,0,0,0,0,0,-0.9,0,---,44,74.66
Food Service,Sandwich and Wrap,Mozzarella and Tomato Baguette,0,0,0,0,0,0,0,0,0,0,0
Grocery - Bakery,Bread,Basson Pita Bread,35.91,0,0,0,0,0,-0.25,0,0,9,35.66
,,Basson Pita Bread Wheat,15.96,0,0,0,0,0,0,0,0,4,15.96
,,"Don Pancho Tortilla Flour 6 16ct""",68,0,0,0,0,0,0,0,0,16,68
,,EB Bread Fremont Sourdough,39.95,0,0,0,0,0,0,0,0,5,39.95
,,EB Bread Multi Grain Sliced,35.96,0,0,0,0,0,0,0,0,4,35.96
,,EB Raisin Pecan Sliced,35.96,0,0,0,0,0,-0.25,0,0,4,35.71
,,EB Rosemary Sliced,71.92,0,0,0,0,0,0,0,0,8,71.92
,,EB Rustic Focaccia,59.9,0,0,0,0,0,0,0,0,10,59.9
,,Franz 4.5in Sesame Bun 8Pk,54.89,0,0,0,0,0,0,0,0,11,54.89
,,Franz 4in Hamburger Bun 8Pk,54.89,0,0,0,0,0,0,0,0,11,54.89
,,Franz Bagel Blueberry 6Pk,113.81,0,0,0,0,0,0,0,0,19,113.81
,,Franz Bagel Cinn Raisin 6Pk,107.82,0,0,0,0,0,0,0,0,18,107.82
,,Franz Bagel Everything 6Pk,317.47,0,0,0,0,0,-0.25,0,0,53,317.22
,,Franz Bagel Mini 12CT,95.8,0,0,0,0,0,0,0,0,20,95.8
,,Franz Bagel Mini Blueberry 12CT,86.22,0,0,0,0,0,-0.25,0,0,18,85.97
,,Franz Bagel Plain 6CT,467.22,0,0,0,0,0,-0.25,0,0,78,466.97
,,Franz Bread Bainbridge Cinnamon Swirl,176.54,0,0,0,0,0,-0.25,0,0,26,176.29
,,Franz Bread Big Horn Valley Wheat,47.61,0,0,0,0,0,-0.25,0,0,9,47.36
,,Franz Bread Buttermilk,185.15,0,0,0,0,0,0,0,0,35,185.15
,,Franz Bread Cannon Milk and Honey,63.48,0,0,0,0,0,-0.25,0,0,12,63.23
,,Franz Bread Hawaiian,106.93,0,0,0,0,0,-0.25,0,0,17,106.68
,,Franz Bread Keto,105.17,0,0,0,0,0,0,0,0,13,105.17
,,Franz Bread Lake Chelan Blueberry,34.95,0,0,0,0,0,0,0,0,5,34.95
,,Franz Bread Lake Washington Honey,63.48,0,0,0,0,0,0,0,0,12,63.48
,,Franz Bread Limited Edition,55.93,0,0,0,0,0,0,0,0,7,55.93
,,Franz Bread Mountain White GF,55.93,0,0,0,0,0,0,0,0,7,55.93
,,Franz Bread Old Town Sourdough,94.35,0,0,0,0,0,0,0,0,15,94.35
,,Franz Bread Organic 24 Grain,95.88,0,0,0,0,0,-0.8,0,0,12,95.08
,,Franz Bread Organic Big Horn Wheat,69.9,0,0,0,0,0,0,0,0,10,69.9
,,Franz Bread Organic Great Seed,48.93,0,0,0,0,0,0,0,0,7,48.93
,,Franz Bread Organic Rogue 24 Grain,23.97,0,0,0,0,0,0,0,0,3,23.97
,,Franz Bread Organic Willamette,79.9,0,0,0,0,0,0,0,0,10,79.9
,,Franz Bread Premium White,73,0,0,0,0,0,-0.5,0,0,20,72.5
,,Franz Bread San Juan 9 Grain,190.44,0,0,0,0,0,-0.53,0,0,36,189.91
,,Franz Bread Seattle Sourdough,481.11,0,0,0,0,0,-1.11,0,0,79,480
,,Franz Bread Seven Grain GF,55.93,0,0,0,0,0,0,0,0,7,55.93
,,Franz Bread White Pita,40.72,0,0,0,0,0,0,0,0,8,40.72
,,Franz Bread Whole Grain White,99.75,0,0,0,0,0,0,0,0,21,99.75
,,Franz Bread Whole Wheat,127.68,0,0,0,0,0,-0.65,0,0,32,127.03
,,Franz English Muffin Extra Crisp 6CT,31.5,0,0,0,0,0,-0.25,0,0,7,31.25
,,Franz English Muffin Orig 6CT,53.85,0,0,0,0,0,0,0,0,15,53.85
