Group,Category,Menu Item,Gross,Void Qty,Void Amt,Refund Qty,Refund Amt,Option Amt,Discount,PriceLevelAdj,Approx. Tax,Net Qty,Net Sales
,,Tillamook Pepperjack 8oz,53.91,0,0,0,0,0,0,0,0,9,53.91
,,Tillamook Sharp Cheddar 8oz,83.86,0,0,0,0,0,-1.2,0,0,14,82.66
,,Tillamook X-Sharp Cheddar 8oz,71.88,0,0,0,0,0,0,0,0,12,71.88
,Cheese,---,3446.12,0,0,0,0,0,-5.27,0,---,828,3440.85
,Dairy Other,Best Yet Butter Quarters 16oz,199.75,0,0,0,0,0,0,0,0,25,199.75
,,Boursin Cheese Garlic Herb 5oz,161.73,0,0,0,0,0,0,0,0,27,161.73
,,Butter Stick Individual,199.42,0,0,0,0,0,-0.34,0,0,118,199.08
,,Coffee Mate French Vanilla 16oz,124.54,0,0,0,0,0,-0.73,0,0,26,123.81
,,Coffee Mate Hazelnut 16oz,62.27,0,0,0,0,0,0,0,0,13,62.27
,,Coffee Mate Hazelnut 32oz,63.92,0,0,0,0,0,0,0,0,8,63.92
,,Daiya Vegan Cream Cheeese Strawberry 8oz,15.3,0,0,0,0,0,0,0,0,2,15.3
,,Daiya Vegan Cream Cheese Plain 8oz,30.6,0,0,0,0,0,0,0,0,4,30.6
,,Daiya Vegan Sliced Cheese,24.36,0,0,0,0,0,0,0,0,4,24.36
,,Darigold Cottage Cheese Curd S,124.41,0,0,0,0,0,0,0,0,29,124.41
,,Darigold Sour Cream 16oz,90.96,0,0,0,0,0,0,0,0,24,90.96
,,Earth Balance Vegan Margarine,46.45,0,0,0,0,0,0,0,0,5,46.45
,,I Cant Believe Its Not Butter 15oz,36.33,0,0,0,0,0,0,0,0,7,36.33
,,Kraft Big Cheese Bar Colby Jack,10.71,0,0,0,0,0.75,0,0,0,4,10.71
,,Philadelphia Cream Cheese Low Fat,149.93,0,0,0,0,0,-0.25,0,0,47,149.68
,,Philadelphia Cream Cheese Original,446.5,0,0,0,0,0,0,0,0,94,446.5
,,SoDelicious Coco Whip 9oz,11.98,0,0,0,0,0,0,0,0,2,11.98
,,Tillamook Butter Regular 1lb,105.17,0,0,0,0,0,0,0,0,13,105.17
,Dairy Other,---,1904.33,0,0,0,0,0.75,-1.32,0,---,452,1903.01
,Yogurt,Chobani Greek Blueberry,329.22,0,0,0,0,0,-0.56,0,0,118,328.66
,,Chobani Greek Peach,354.33,0,0,0,0,0,-0.56,0,0,127,353.77
,,Chobani Greek Plain Nonfat ,440.82,0,0,0,0,0,-1.12,0,0,158,439.7
,,Chobani Greek Plain Nonfat 32oz,936.25,0,0,0,0,0,-0.25,0,0,125,936
,,Chobani Greek Raspberry,362.7,0,0,0,0,0,-0.81,0,0,130,361.89
,,Chobani Greek Strawberry,415.71,0,0,0,0,0,-0.25,0,0,149,415.46
,,Chobani Greek Vanilla,390.6,0,0,0,0,0,-0.25,0,0,140,390.35
,,Ellenos Greek Blueberry/Pom 7oz,376.35,0,0,0,0,0,0,0,0,65,376.35
,,Ellenos Greek Lemon Curd 8oz,259.21,0,0,0,0,0,-1.06,0,0,49,258.15
,,Ellenos Greek Mango 8oz,353.19,0,0,0,0,0,0,0,0,61,353.19
,,Ellenos Greek Marionberry 8oz,260.55,0,0,0,0,0,0,0,0,45,260.55
,,Ellenos Greek Muesli 8oz,277.92,0,0,0,0,0,0,0,0,48,277.92
,,Silk Yogurt Almond Milk Dark Choc 5.3oz,32.89,0,0,0,0,0,0,0,0,11,32.89
,,Silk Yogurt Almond Strawberry 5.3oz,17.45,0,0,0,0,0,-0.7,0,0,5,16.75
,,Silk Yogurt Almond Vanilla 5.3oz,35.88,0,0,0,0,0,0,0,0,12,35.88
,,Silk Yogurt Soy Blueberry 5.3oz,73.29,0,0,0,0,0,0,0,0,21,73.29
,,Silk Yogurt Soy Strawberry 5.3oz,47.84,0,0,0,0,0,0,0,0,16,47.84
,,Silk Yogurt Soy Vanilla 5.3oz,56.81,0,0,0,0,0,0,0,0,19,56.81
,,Yoplait French Vanilla,85,0,0,0,0,0,0,0,0,68,85
,,Yoplait Harvest Peach,122.5,0,0,0,0,0,0,0,0,98,122.5
,,Yoplait Light Strawberry,60,0,0,0,0,0,0,0,0,48,60
,,Yoplait Mixed Berry,58.75,0,0,0,0,0,0,0,0,47,58.75
,,Yoplait Raspberry,51.25,0,0,0,0,0,0,0,0,41,51.25
,,Yoplait Strawberry,88.75,0,0,0,0,0,-0.25,0,0,71,88.5
,Yogurt,---,5487.26,0,0,0,0,0,-5.81,0,---,1672,5481.45
Grocery - Dairy,---,---,10837.71,0,0,0,0,0.75,-12.4,0,---,2952,10825.31
Grocery - Dry Goods (Non-Weighted),Baking Ingredients,Argo Corn Starch 1#,21.54,0,0,0,0,0,0,0,0,6,21.54
,,Arm Hammer Baking Soda 16oz,26.85,0,0,0,0,0,0,0,0,15,26.85
,,Best Yet Flour Unbleached 5lb,10.58,0,0,0,0,0,0,0,0,2,10.58
,,Best Yet Pie Crust Graham Cracker,3.99,0,0,0,0,0,0,0,0,1,3.99
,,Best Yet Semi Sweet Chips 12oz,111.54,0,0,0,0,0,0,0,0,26,111.54
,,Betty Crocker Choc Chip Cookie Mix,15.16,0,0,0,0,0,-0.25,0,0,4,14.91
,,Betty Crocker Frosting Chocolate,7.38,0,0,0,0,0,0,0,0,2,7.38
,,Betty Crocker Frosting Crm Chs,14.76,0,0,0,0,0,0,0,0,4,14.76
,,Betty Crocker Frosting Vanilla,11.07,0,0,0,0,0,0,0,0,3,11.07
,,Betty Crocker SM Choc Fudge Mix,9.4,0,0,0,0,0,0,0,0,4,9.4
,,Betty Crocker SM Devils Food Mix 13.25oz,14.1,0,0,0,0,0,0,0,0,6,14.1
,,Betty Crocker SM German Choc Mix 13.25oz,2.75,0,0,0,0,0,0,0,0,1,2.75
,,Betty Crocker SM Yellow Cake Mix 13.25oz,30.25,0,0,0,0,0,-0.25,0,0,11,30
,,Bisquick 20oz,22.74,0,0,0,0,0,0,0,0,6,22.74
,,Bobs RM Organic White Rice Flour 24oz,7.99,0,0,0,0,0,0,0,0,1,7.99
,,Bobs RM Whole Wheat Flour 5lb,17.97,0,0,0,0,0,0,0,0,3,17.97
,,CH Brown Sugar 1lb,47.84,0,0,0,0,0,0,0,0,16,47.84
,,CH Granulated Sugar 1lb,66.47,0,0,0,0,0,0,0,0,23,66.47
,,CH Granulated Sugar 4lb,55.93,0,0,0,0,0,0,0,0,7,55.93
,,Fleischman Dry Yeast 3PK,27.6,0,0,0,0,0,0,0,0,8,27.6
,,Gold Medal Flour 2lb,44.03,0,0,0,0,0,0,0,0,17,44.03
,,Hersheys Baking Cocoa 8oz,59.43,0,0,0,0,0,0,0,0,7,59.43
,,Jell-O Instant Chocolate Pudding 3.9oz,2.69,0,0,0,0,0,0,0,0,1,2.69
,,Jell-O Instant Vanilla Pudding 3.4oz ,8.07,0,0,0,0,0,0,0,0,3,8.07
,,Jell-O Lime Gelatin 3oz,3.98,0,0,0,0,0,0,0,0,2,3.98
,,Jell-O Orange Gelatin 3oz ,5.38,0,0,0,0,0,0,0,0,2,5.38
,,Jell-O Raspberry Gelatin 3oz,8.07,0,0,0,0,0,0,0,0,3,8.07
,,Jell-O Strawberry Gelatin 3oz ,13.93,0,0,0,0,0,0,0,0,7,13.93
,,Jiffy Corn Muffin Mix 8.5oz,3.78,0,0,0,0,0,0,0,0,2,3.78
,,King Arthur Brownie Mix GF,48.95,0,0,0,0,0,0,0,0,5,48.95
,,Krusteaz Buttermilk Pancake Mix,15.98,0,0,0,0,0,0,0,0,2,15.98
,,McCormicks Pure Vanilla Extract,49,0,0,0,0,0,0,0,0,7,49
,,Nestle Butterscotch Chips 11oz,19.56,0,0,0,0,0,0,0,0,4,19.56
,,Reeses PB Chips 10oz,11.38,0,0,0,0,0,0,0,0,2,11.38
,Baking Ingredients,---,820.14,0,0,0,0,0,-0.5,0,---,213,819.64
,Bulk Food,DM Bulk Bin Food,142.05,0,0,0,0,0,-1.46,-88.75,0,22,140.59
,Canned Foods,Best Yet Chunk Lite Tuna Water 5oz,135.32,0,0,0,0,0,-0.25,0,0,68,135.07
,,Best Yet Diced Tomatoes 14.5oz,41.17,0,0,0,0,0,0,0,0,23,41.17
,,Best Yet Mandarin Orange 11oz,8.36,0,0,0,0,0,0,0,0,4,8.36
,,Best Yet Mixed Vegetables 15oz,23.88,0,0,0,0,0,0,0,0,12,23.88
,,Best Yet Pinto Beans 15.5oz,21.45,0,0,0,0,0,0,0,0,13,21.45
,,Best Yet Whole Kernel Corn 15.25oz,9,0,0,0,0,0,0,0,0,6,9
,,Bumble Bee Chunk Light Tuna 5oz,104.58,0,0,0,0,0,-0.25,0,0,42,104.33
,,Bumble Bee Soild White Albacore,62.82,0,0,0,0,0,-0.25,0,0,18,62.57
,,Bumble Bee Tuna Salad,80.73,0,0,0,0,0,0,0,0,27,80.73
,,China Sea Bamboo Shoot Sliced,4.78,0,0,0,0,0,0,0,0,2,4.78
,,China Sea Water Chestnut Slcd,4.98,0,0,0,0,0,0,0,0,2,4.98
,,Del Monte Fruit Cocktail 15oz,20.07,0,0,0,0,0,0,0,0,3,20.07
,,Del Monte Green Bean French 14.5oz,7.38,0,0,0,0,0,0,0,0,2,7.38
,,Del Monte Peach Slices 15.25oz,32.9,0,0,0,0,0,-0.25,0,0,10,32.65
,,Del Monte Pear Halves 15oz,14.67,0,0,0,0,0,0,0,0,3,14.67
,,Del Monte Sweet Peas 15oz,27.81,0,0,0,0,0,0,0,0,9,27.81
,,Del Monte Whole Corn 15.25oz,22.14,0,0,0,0,0,-0.37,0,0,6,21.77
,,Dole Pineapple Sliced in Juice,47.25,0,0,0,0,0,0,0,0,25,47.25
,,Embasa Chipotle Peppers 7oz,16.74,0,0,0,0,0,0,0,0,6,16.74
,,Embasa Jalapenos Sliced 7z,5.96,0,0,0,0,0,0,0,0,4,5.96
,,Field Day Organic Pasta Sauce - Marinara,95.84,0,0,0,0,0,-0.25,0,0,16,95.59
,,Field Day Organic Pasta Sauce - Roasted Garlic ,77.87,0,0,0,0,0,0,0,0,13,77.87
,,Field Day Organic Pasta Sauce - Spice Arrabbiata,53.91,0,0,0,0,0,-0.85,0,0,9,53.06
,,Hunts Tomato Paste 6oz,35.82,0,0,0,0,0,0,0,0,18,35.82
,,Libbys Pumpkin Filling 15oz,3.25,0,0,0,0,0,0,0,0,1,3.25
,,Libbys Vienna Sausage 4.6oz,13.93,0,0,0,0,0,0,0,0,7,13.93
,,Manwich Sloppy Joe Sauce 15oz,3.29,0,0,0,0,0,0,0,0,1,3.29
,,Ocean Spray Canberry Sauce Whole 14oz,8.55,0,0,0,0,0,0,0,0,3,8.55
,,Rosarita Refried Beans,41.88,0,0,0,0,0,0,0,0,12,41.88
,,Rosarita Vegetarian Refried Beans,3.49,0,0,0,0,0,0,0,0,1,3.49
,,SW Black Beans 15oz,52.29,0,0,0,0,0,0,0,0,21,52.29
,,SW Garbanzo Beans 15.5oz,37.35,0,0,0,0,0,-0.75,0,0,15,36.6
,,SW Red Kidney Beans 15oz,14.94,0,0,0,0,0,0,0,0,6,14.94
,,Shirakiku Coconut Milk 13.5oz,34.02,0,0,0,0,0,-0.57,0,0,18,33.45
,,Shirakiku Cut Young Corn 15oz,11.95,0,0,0,0,0,0,0,0,5,11.95
,,Shirakiku Lychee Seedless 20oz,53.82,0,0,0,0,0,-0.25,0,0,18,53.57
,,Spam 12oz,267.96,0,0,0,0,0,0,0,0,44,267.96
,,Stagg Chili Classic with Beans,36.81,0,0,0,0,0,0,0,0,9,36.81
,Canned Foods,---,1538.96,0,0,0,0,0,-4.04,0,---,502,1534.92
,Condiments and Sauces,Adams Peanut Butter Creamy,36.54,0,0,0,0,0,0,0,0,6,36.54
,,Adams Peanut Butter Crunchy,48.72,0,0,0,0,0,-0.61,0,0,8,48.11
,,Aloha Teriyaki Sauce 12oz,13.77,0,0,0,0,0,0,0,0,3,13.77
,,Annies Balsmc Vinaigrette Dressing,17.97,0,0,0,0,0,0,0,0,3,17.97
,,Best Foods Mayo Squeeze 11.5oz,156.25,0,0,0,0,0,0,0,0,25,156.25
,,Best Yet Honey Bear 12Z,317.47,0,0,0,0,0,0,0,0,53,317.47
,,Best Yet Mayonnaise 15oz,56,0,0,0,0,0,0,0,0,16,56
,,Best Yet Peanut Butter Creamy 16.3oz,127.68,0,0,0,0,0,-0.25,0,0,32,127.43
,,Best Yet Peanut Butter Crunchy 16.3oz,43.89,0,0,0,0,0,-0.25,0,0,11,43.64
,,CJ Bibigo Korean BBQ Sauce Original,23.56,0,0,0,0,0,0,0,0,4,23.56
,,Cholula Hot Sauce 5oz ,75.27,0,0,0,0,0,0,0,0,13,75.27
,,Classico 4 Cheese Sauce 24oz,181.47,0,0,0,0,0,0,0,0,23,181.47
,,Classico Alfredo Garlic 15oz ,197.25,0,0,0,0,0,0,0,0,25,197.25
,,Classico Tomato Basil 24oz ,220.92,0,0,0,0,0,-0.25,0,0,28,220.67
,,Country Kitchen Syrup,25.95,0,0,0,0,0,0,0,0,5,25.95
,,Divina Spread Fig 9oz,17.67,0,0,0,0,0,0,0,0,3,17.67
,,Franks Red Hot Sauce 12oz,57.52,0,0,0,0,0,0,0,0,8,57.52
,,Frenchs Yellow Mustard 8oz ,30.9,0,0,0,0,0,0,0,0,10,30.9
,,Fritos Jalapeno Cheddar Dip 9oz,27.92,0,0,0,0,0,-0.35,0,0,8,27.57
,,Fritos Mild Cheddar Dip 9oz,6.98,0,0,0,0,0,0,0,0,2,6.98
,,Grey Poupon Dijon Mustard 8oz,34.23,0,0,0,0,0,0,0,0,7,34.23
,,Guldens Spicy Brown Mustard,15.45,0,0,0,0,0,0,0,0,5,15.45
,,Heinz Ketchup 14oz,179.55,0,0,0,0,0,0,0,0,45,179.55
,,Heinz Ketchup 32oz,119.85,0,0,0,0,0,0,0,0,15,119.85
,,Hersheys Chocolate Syrup 24oz,71.39,0,0,0,0,0,-0.25,0,0,11,71.14
,,Hormel Bacon Bits,7.78,0,0,0,0,0,0,0,0,2,7.78
,,Hunts Tomato Sauce 15oz,14.95,0,0,0,0,0,0,0,0,5,14.95
,,Huy Fong Sriracha Ht Chili Sauce,133.65,0,0,0,0,0,-0.75,0,0,27,132.9
,,Jif Peanut Butter Creamy 16oz,121.94,0,0,0,0,0,-0.25,0,0,26,121.69
,,Jif Peanut Butter Extra Crunchy 16oz,60.97,0,0,0,0,0,-0.25,0,0,13,60.72
,,KKM Soy Sauce Org,36,0,0,0,0,0,0,0,0,8,36
,,Kewpie Mayonnaise 17.64oz,182.25,0,0,0,0,0,0,0,0,25,182.25
,,Kikkoman Gluten Free Soy Sauce,17.56,0,0,0,0,0,0,0,0,4,17.56
,,Kikkoman Kung Pao Chiken Sauce,2.18,0,0,0,0,0,0,0,0,2,2.18
,,Kikkoman Orange Sauce 12.5oz,12.76,0,0,0,0,0,0,0,0,4,12.76
,,Kikkoman Organic Sauce 15oz,23.56,0,0,0,0,0,0,0,0,4,23.56
,,Kikkoman Soy Sauce 20oz,64.79,0,0,0,0,0,0,0,0,11,64.79
,,Kikkoman Soy Sauce Tamari GF,13.17,0,0,0,0,0,0,0,0,3,13.17
,,Kikkoman Sriracha Hot Chile,7.98,0,0,0,0,0,0,0,0,2,7.98
,,Kikkoman Sweet Soy Sauce,11.67,0,0,0,0,0,0,0,0,3,11.67
,,Kikkoman Swt Sour Sauce Pkt,1.09,0,0,0,0,0,0,0,0,1,1.09
,,Kikkoman Thai Peanut Sauce 9oz,25.14,0,0,0,0,0,-0.25,0,0,6,24.89
,,Kikkoman Wasabi Sauce 9.25oz,7.98,0,0,0,0,0,0,0,0,2,7.98
,,Kraft BBQ Sauce Original 18oz ,9.78,0,0,0,0,0,0,0,0,2,9.78
,,Kraft Classic Caesar 16oz,31.45,0,0,0,0,0,0,0,0,5,31.45
,,Kraft Miracle Whip 12oz,44.94,0,0,0,0,0,-0.75,0,0,6,44.19
,,Kraft Parmesan 8oz,113.85,0,0,0,0,0,0,0,0,15,113.85
,,Kraft Ranch Dressing 8oz,68.64,0,0,0,0,0,0,0,0,16,68.64
,,LP Worcestershire Sauce 10oz,16.74,0,0,0,0,0,0,0,0,2,16.74
,,Lays Creamy Ranch Dip 15oz,7.38,0,0,0,0,0,0,0,0,2,7.38
,,Log Cabin Syrup 12oz,24.95,0,0,0,0,0,0,0,0,5,24.95
,,Mae Ploy Sweet Chili Sauce 25z,47.92,0,0,0,0,0,-0.85,0,0,8,47.07
,,Marukan Ponzu Soy Dressing 12oz,19.96,0,0,0,0,0,0,0,0,4,19.96
,,Mishima Furikake Ajinori 1.94oz,42.32,0,0,0,0,0,-0.25,0,0,8,42.07
,,Mishima Furikake Nori 1.94oz,10.58,0,0,0,0,0,0,0,0,2,10.58
,,Mrs Butterworths Syrup 24oz,40.74,0,0,0,0,0,0,0,0,6,40.74
,,Newmans Lt Balsamic Dressing,6.29,0,0,0,0,0,0,0,0,1,6.29
,,Newmans Lt Italian Dressing,12.58,0,0,0,0,0,0,0,0,2,12.58
,,Newmans Raspberry Walnut Dressing,12.58,0,0,0,0,0,-0.63,0,0,2,11.95
,,Nutella 13oz,292.32,0,0,0,0,0,0,0,0,48,292.32
,,PB Co White Chocolate,25.96,0,0,0,0,0,0,0,0,4,25.96
,,Pace Salsa Medium Chunky 16oz,49.41,0,0,0,0,0,0,0,0,9,49.41
,,Pace Salsa Mild Picante 16oz,32.94,0,0,0,0,0,0,0,0,6,32.94
,,Pennys Salsa Medium 16oz,54.9,0,0,0,0,0,-0.25,0,0,10,54.65
,,Pennys Salsa Mild 16oz,32.94,0,0,0,0,0,0,0,0,6,32.94
,,Pennys Salsa PicoDeGallo 16oz,21.96,0,0,0,0,0,0,0,0,4,21.96
,,SB Rayu Chili Oil 1.1oz,29.61,0,0,0,0,0,0,0,0,9,29.61
,,Shirakiku Furikake Ochazuke Wakame,15.87,0,0,0,0,0,0,0,0,3,15.87
,,Shirakiku Korean Gochujang 18oz,12.87,0,0,0,0,0,-0.43,0,0,3,12.44
,,Shirakiku Korean Seasoned Seaweed,39.12,0,0,0,0,0,0,0,0,8,39.12
,,Shirakiku Oyster Sauce 18oz,23.94,0,0,0,0,0,0,0,0,6,23.94
,,Shirakiku Seaweed Cut Wakame 2.5oz,3.58,0,0,0,0,0,0,0,0,2,3.58
,,Shirakiku Teriyaki Sauce 18oz,7.98,0,0,0,0,0,0,0,0,2,7.98
,,Shirakiku Tonkatsu Sauce 18oz,11.97,0,0,0,0,0,0,0,0,3,11.97
,,Simple Mills Cashew Nut Butter Cocao 6.7oz ,130.06,0,0,0,0,0,-0.25,0,0,14,129.81
,,Smuckers Blackberry Jam 12oz,47.92,0,0,0,0,0,0,0,0,8,47.92
,,Smuckers Butterscotch Top 12oz,5.99,0,0,0,0,0,0,0,0,1,5.99
,,Smuckers Caramel Sauce,3.39,0,0,0,0,0,0,0,0,1,3.39
,,Smuckers Fudge 11.75oz,9.75,0,0,0,0,0,0,0,0,3,9.75
,,Smuckers Grape Jelly 12oz,47.92,0,0,0,0,0,0,0,0,8,47.92
,,Smuckers Orange Marmalade 12oz,23.96,0,0,0,0,0,0,0,0,4,23.96
,,Smuckers Raspberry 12oz,71.88,0,0,0,0,0,0,0,0,12,71.88
,,Smuckers Strawberry 12oz,119.8,0,0,0,0,0,0,0,0,20,119.8
,,Sweet Baby BBQ Original 28oz,43.92,0,0,0,0,0,0,0,0,8,43.92
,,Tabasco Sauce 2oz,26.9,0,0,0,0,0,0,0,0,10,26.9
,,Texas Pete Hot Sauce 6oz,17.94,0,0,0,0,0,0,0,0,6,17.94
,,Tostitos Creamy Spinach Dip 15,29.94,0,0,0,0,0,0,0,0,6,29.94
,,Tostitos Nacho Cheese Med 3oz,5.97,0,0,0,0,0,0,0,0,3,5.97
,,Tostitos Salsa All-Nat Medium,24.54,0,0,0,0,0,0,0,0,6,24.54
,,Tostitos Salsa Queso Medium,104.79,0,0,0,0,0,0,0,0,21,104.79
,,Tostitos Salsa Restaurant Style Medium,73.62,0,0,0,0,0,0,0,0,18,73.62
,,Vlasic Kosher Dill Spears 16oz,60.06,0,0,0,0,0,0,0,0,14,60.06
,,Vlasic Kosher Dill Stacks 16oz,81.44,0,0,0,0,0,0,0,0,16,81.44
,Condiments and Sauces,---,4945.45,0,0,0,0,0,-6.87,0,---,905,4938.58
,Dry Goods Other,Best Yet Bread Crumbs 15oz,15.16,0,0,0,0,0,0,0,0,4,15.16
,,Best Yet Marshamallow Mini 10oz,10.5,0,0,0,0,0,0,0,0,7,10.5
,,Bobs RM Pearl Couscous Tricolor 16oz,11.98,0,0,0,0,0,0,0,0,2,11.98
,,Carnation Condensed Sweet Milk,52.9,0,0,0,0,0,0,0,0,10,52.9
,,Carnation Evaporated Milk 12oz,22.74,0,0,0,0,0,0,0,0,6,22.74
,,Dole Fruit Cup Mandarins 4CT,91.01,0,0,0,0,0,0,0,0,19,91.01
,,Equal Packets 50CT,3.69,0,0,0,0,0,0,0,0,1,3.69
,,Fritos Bean Dip 9oz,2.39,0,0,0,0,0,0,0,0,1,2.39
,,Idahoan Butter Homstyl Potato,8.97,0,0,0,0,0,0,0,0,3,8.97
,,Idahoan Four Cheese Potato,5.98,0,0,0,0,0,0,0,0,2,5.98
,,Idahoan Roasted Garlic Potato,11.96,0,0,0,0,0,0,0,0,4,11.96
,,Jet Puffed Marshmallow 16oz,18.36,0,0,0,0,0,0,0,0,4,18.36
,,Lindsay Med Pit Olives 6oz,18.36,0,0,0,0,0,0,0,0,4,18.36
,,Lindsay Ripe Olives Sliced 2.25oz,4.59,0,0,0,0,0,0,0,0,1,4.59
,,Napoleon Basil Pesto 6.3oz,27.65,0,0,0,0,0,0,0,0,7,27.65
,,Natures Path HomeStyle Waffle GF,34.93,0,0,0,0,0,0,0,0,7,34.93
,,Nico Nori Sushihane,154.63,0,0,0,0,0,-7.9,0,0,47,146.73
,,ReaLemon Juice 4.5oz ,10.35,0,0,0,0,0,0,0,0,9,10.35
,,Realime Juice 4.5oz,10.35,0,0,0,0,0,0,0,0,9,10.35
,,SB Gold Curry Mix Ex Hot 7.8oz,35.34,0,0,0,0,0,-0.59,0,0,6,34.75
,,SB Gold Curry Mix Hot 7.8oz,41.23,0,0,0,0,0,0,0,0,7,41.23
,,SB Gold Curry Mix Mild 7.8oz,58.9,0,0,0,0,0,-0.59,0,0,10,58.31
,,SB Gold Curry Sauce Hot 8.1oz,55.86,0,0,0,0,0,0,0,0,14,55.86
,,SB Gold Curry Sauce Med 8.1oz,7.98,0,0,0,0,0,0,0,0,2,7.98
,,SB Gold Curry Sauce Mild 8oz,19.95,0,0,0,0,0,0,0,0,5,19.95
,,Snack Pack Choc Variety 4Pk,38.87,0,0,0,0,0,0,0,0,13,38.87
,,Snack Pack Chocolate 4Pk,14.95,0,0,0,0,0,0,0,0,5,14.95
,,Snack Pack Tapioca 4Pk,23.92,0,0,0,0,0,0,0,0,8,23.92
,,Sukhis Tikka Masala Sauce 3oz,39.92,0,0,0,0,0,0,0,0,8,39.92
,,Sweet N Low 50s,5.58,0,0,0,0,0,0,0,0,2,5.58
,,Tasty Bite Spinach Dal,11.98,0,0,0,0,0,0,0,0,2,11.98
,,Tree Top Apple Sauce Pouch Ori,168.98,0,0,0,0,0,0,0,0,142,168.98
,,Velveeta Shells N Cheese 12oz,14.25,0,0,0,0,0,0,0,0,3,14.25
,,Velveeta Skillet Cheeseburger,6.49,0,0,0,0,0,0,0,0,1,6.49
,Dry Goods Other,---,1060.7,0,0,0,0,0,-9.08,0,---,375,1051.62
,Grains and Pasta,Annie Chun Maifun Brown Rice Noodles ,11.78,0,0,0,0,0,0,0,0,2,11.78
,,Annie Chun Maifun Rice Noodles,11.78,0,0,0,0,0,0,0,0,2,11.78
,,Barilla Elbow Macaroni 16oz,68.22,0,0,0,0,0,0,0,0,18,68.22
,,Barilla Fettuccine 16oz,79.59,0,0,0,0,0,0,0,0,21,79.59
,,Barilla Penne Rigate 16oz,144.02,0,0,0,0,0,-1.26,0,0,38,142.76
,,Barilla Spaghetti 16oz,170.55,0,0,0,0,0,-0.88,0,0,45,169.67
,,Best Yet Instant Rice 28oz,43.92,0,0,0,0,0,-0.25,0,0,8,43.67
,,Best Yet Long Grn Rice 32Z,62.79,0,0,0,0,0,-0.25,0,0,21,62.54
,,Bobs RM Organic Flaxseeds 13oz,9.98,0,0,0,0,0,0,0,0,2,9.98
,,Brilla Rigatoni 16oz,101.66,0,0,0,0,0,-0.25,0,0,34,101.41
,,FD Organic Brown Rice Fetuccine GF,9.3,0,0,0,0,0,0,0,0,2,9.3
,,FD Organic Brown Rice Penne GF,9.18,0,0,0,0,0,0,0,0,2,9.18
,,Fall River Wild Rice Box,7.35,0,0,0,0,0,-0.25,0,0,1,7.1
,,Minutes Rice 14oz,21.2,0,0,0,0,0,0,0,0,8,21.2
,,Rice-a-Roni Broccoli Cheddar,71.76,0,0,0,0,0,0,0,0,24,71.76
,,Royal Blossom Jasmine Rice 5lb,179.8,0,0,0,0,0,-0.9,0,0,20,178.9
,,Shirakiku Calrose Rice 5lb,142.02,0,0,0,0,0,-0.25,0,0,18,141.77
,,Shirakiku Noodle Inaka Udon,48.86,0,0,0,0,0,-0.7,0,0,14,48.16
,,Shirakiku Noodle Zaru Soba,34.23,0,0,0,0,0,0,0,0,7,34.23
,,Shirakiku Rice Cooked Gohn 3PC,747.93,0,0,0,0,0,-0.75,0,0,107,747.18
,,Shirakiku Tomoshi Somen Noodle,17.91,0,0,0,0,0,0,0,0,9,17.91
,,Tasty Bite Organic Ancient Rices 8.8oz,32.85,0,0,0,0,0,0,0,0,9,32.85
,Grains and Pasta,---,2026.68,0,0,0,0,0,-5.74,0,---,412,2020.94
,Instant Noodles,Annies Shells N Aged Cheese 6oz,83.76,0,0,0,0,0,0,0,0,24,83.76
,,Best Yet Mac N Cheese Box ,16.77,0,0,0,0,0,0,0,0,13,16.77
,,Cup of Noodles Beef,34.75,0,0,0,0,0,0,0,0,25,34.75
,,Cup of Noodles Chicken,111.2,0,0,0,0,0,0,0,0,80,111.2
,,Cup of Noodles Shrimp,26.41,0,0,0,0,0,0,0,0,19,26.41
,,Kraft Easy Mac Original,209.16,0,0,0,0,0,0,0,0,84,209.16
,,Kraft Mac N Cheese Box,75.33,0,0,0,0,0,0,0,0,27,75.33
,,Nissin Chow Mein Chicken 4oz,59.54,0,0,0,0,0,0,0,0,26,59.54
,,Nissin Chow Mein Teri Beef 4oz,54.96,0,0,0,0,0,0,0,0,24,54.96
,,Nissin Cup Noodle Stir Fry Chili 2.89oz,94.62,0,0,0,0,0,0,0,0,38,94.62
,,Nissin Cup Noodle Stir Fry Korean BBQ Beef 2.89oz ,84.66,0,0,0,0,0,0,0,0,34,84.66
,,Nissin Cup Noodle Stir Fry Teriyaki Chicken 2.89oz,22.32,0,0,0,0,0,0,0,0,8,22.32
,,Nissin Cup Noodle Stir Fry Teryaki Beef,94.23,0,0,0,0,0,0,0,0,27,94.23
,,NongShim Chicken Bowl,72.21,0,0,0,0,0,-0.25,0,0,29,71.96
,,NongShim Spicy Chicken,129.48,0,0,0,0,0,0,0,0,52,129.48
,,NongShim Veggie Kimchi,184.26,0,0,0,0,0,0,0,0,74,184.26
,,Nongshim Black Ramyun Cup,558.6,0,0,0,0,0,0,0,0,140,558.6
,,Nongshim Kimchi Noodle,124.5,0,0,0,0,0,0,0,0,50,124.5
,,Nongshim Veggie Noodle,112.05,0,0,0,0,0,0,0,0,45,112.05
,,Phonomeal Chicken Bowl,204.59,0,0,0,0,0,0,0,0,41,204.59
,,Phonomenal Veggie Bowl,139.72,0,0,0,0,0,0,0,0,28,139.72
